Attrition,Gender,MaritalStatus,OverTime,JobRole,BusinessTravel,Department_Research & Development,Department_Sales,Age,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1,0.0,0.0,0.0,4.0,1.0,0.0,1.0,41.0,1.0,2.0,2.0,3.0,2.0,4.0,5993.0,8.0,11.0,3.0,1.0,0.0,8.0,1.0,6.0,4.0,0.0,5.0
0,1.0,1.0,1.0,7.0,2.0,1.0,0.0,49.0,8.0,1.0,3.0,2.0,2.0,2.0,5130.0,1.0,23.0,4.0,4.0,1.0,10.0,3.0,10.0,7.0,1.0,7.0
1,1.0,0.0,0.0,1.0,1.0,1.0,0.0,37.0,2.0,2.0,4.0,2.0,1.0,3.0,2090.0,6.0,15.0,3.0,2.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0
0,0.0,1.0,0.0,7.0,2.0,1.0,0.0,33.0,3.0,4.0,4.0,3.0,1.0,3.0,2909.0,1.0,11.0,3.0,3.0,0.0,8.0,3.0,8.0,7.0,3.0,0.0
0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,27.0,2.0,1.0,1.0,3.0,1.0,2.0,3468.0,9.0,12.0,3.0,4.0,1.0,6.0,3.0,2.0,2.0,2.0,2.0
0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,32.0,2.0,2.0,4.0,3.0,1.0,4.0,3068.0,0.0,13.0,3.0,3.0,0.0,8.0,2.0,7.0,7.0,3.0,6.0
0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,59.0,3.0,3.0,3.0,4.0,1.0,1.0,2670.0,4.0,20.0,4.0,1.0,3.0,12.0,2.0,1.0,0.0,0.0,0.0
0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,30.0,24.0,1.0,4.0,3.0,1.0,3.0,2693.0,1.0,22.0,4.0,2.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0
0,1.0,0.0,1.0,6.0,2.0,1.0,0.0,38.0,23.0,3.0,4.0,2.0,3.0,3.0,9526.0,0.0,21.0,4.0,2.0,0.0,10.0,3.0,9.0,7.0,1.0,8.0
0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,36.0,27.0,3.0,3.0,3.0,2.0,3.0,5237.0,6.0,13.0,3.0,2.0,2.0,17.0,2.0,7.0,7.0,7.0,7.0
